Date,Close,Volume,Open,High,Low
03/14/2011,0.1,,0.1,0.1,0.1
03/15/2011,0.1,,0.1,0.1,0.1
03/16/2011,0.06,10.0,0.06,0.06,0.06
03/17/2011,0.06,25.0,0.06,0.06,0.06
03/18/2011,0.06,,0.06,0.06,0.06
03/21/2011,0.06,,0.06,0.06,0.06
03/22/2011,0.06,,0.06,0.06,0.06
03/23/2011,0.06,50.0,0.06,0.06,0.06
03/24/2011,0.06,10.0,0.06,0.06,0.06
03/25/2011,0.06,40.0,0.06,0.06,0.06
03/28/2011,0.06,476.0,0.085,0.085,0.06
03/29/2011,0.06,799.0,0.06,0.06,0.06
03/30/2011,0.06,180.0,0.06,0.06,0.06
03/31/2011,0.085,600.0,0.085,0.085,0.085
04/01/2011,0.085,,0.085,0.085,0.085
04/04/2011,0.06,10.0,0.06,0.06,0.06
04/05/2011,0.06,40.0,0.06,0.06,0.06
04/06/2011,0.06,562.0,0.06,0.06,0.06
04/07/2011,0.06,34.0,0.06,0.06,0.06
04/08/2011,0.06,,0.06,0.06,0.06
04/11/2011,0.06,110.0,0.06,0.06,0.06
04/12/2011,0.06,,0.06,0.06,0.06
04/13/2011,0.06,,0.06,0.06,0.06
04/14/2011,0.06,70.0,0.06,0.06,0.06
04/15/2011,0.06,1209.0,0.06,0.06,0.06
04/18/2011,0.06,,0.06,0.06,0.06
04/19/2011,0.06,,0.06,0.06,0.06
04/20/2011,0.06,,0.06,0.06,0.06
04/21/2011,0.06,80.0,0.06,0.06,0.06
04/25/2011,0.06,24.0,0.1,0.1,0.06
04/26/2011,0.06,200.0,0.06,0.06,0.06
04/27/2011,0.06,,0.06,0.06,0.06
04/28/2011,0.06,,0.06,0.06,0.06
04/29/2011,0.06,26.0,0.1,0.1,0.06
05/02/2011,0.06,9.0,0.06,0.06,0.06
05/03/2011,0.06,,0.06,0.06,0.06
05/04/2011,0.06,,0.06,0.06,0.06
05/05/2011,0.06,24.0,0.06,0.06,0.06
05/06/2011,0.06,27.0,0.06,0.06,0.06
05/09/2011,0.065,180.0,0.065,0.065,0.065
05/10/2011,0.065,5652.0,0.065,0.065,0.065
05/11/2011,0.065,20.0,0.065,0.065,0.065
05/12/2011,0.065,660.0,0.065,0.065,0.065
05/13/2011,0.065,,0.065,0.065,0.065
05/16/2011,0.065,20.0,0.065,0.065,0.065
05/17/2011,0.065,,0.065,0.065,0.065
05/18/2011,0.065,123.0,0.065,0.065,0.065
05/19/2011,0.065,3.0,0.065,0.065,0.065
05/20/2011,0.065,,0.065,0.065,0.065
05/23/2011,0.19,6816.0,0.08,0.195,0.08
05/24/2011,0.15,1816.0,0.19,0.19,0.15
05/25/2011,0.1,88.0,0.1,0.1,0.1
05/26/2011,0.175,20.0,0.175,0.175,0.175
05/27/2011,0.1,24.0,0.1,0.1,0.1
05/31/2011,0.1,4.0,0.1,0.1,0.1
06/01/2011,0.1,5.0,0.1,0.1,0.1
06/02/2011,0.175,1004.0,0.105,0.175,0.105
06/03/2011,0.165,155.0,0.11,0.165,0.11
06/06/2011,0.165,,0.165,0.165,0.165
06/07/2011,0.165,,0.165,0.165,0.165
06/08/2011,0.11,213.0,0.11,0.11,0.11
06/09/2011,0.11,,0.11,0.11,0.11
06/10/2011,0.11,9.0,0.11,0.11,0.11
06/13/2011,0.11,6.0,0.11,0.11,0.11
06/14/2011,0.175,602.0,0.11,0.175,0.11
06/15/2011,0.11,4.0,0.11,0.11,0.11
06/16/2011,0.11,,0.11,0.11,0.11
06/17/2011,0.11,,0.11,0.11,0.11
06/20/2011,0.11,,0.11,0.11,0.11
06/21/2011,0.11,49.0,0.175,0.175,0.11
06/22/2011,0.11,,0.11,0.11,0.11
06/23/2011,0.11,30.0,0.11,0.11,0.11
06/24/2011,0.11,200.0,0.11,0.11,0.11
06/27/2011,0.11,30.0,0.11,0.11,0.11
06/28/2011,0.11,10.0,0.11,0.11,0.11
06/29/2011,0.11,,0.11,0.11,0.11
06/30/2011,0.175,1464.0,0.11,0.175,0.11
07/01/2011,0.11,30.0,0.11,0.11,0.11
07/05/2011,0.11,,0.11,0.11,0.11
07/06/2011,0.11,,0.11,0.11,0.11
07/07/2011,0.11,,0.11,0.11,0.11
07/08/2011,0.115,40.0,0.115,0.115,0.115
07/11/2011,0.125,50.0,0.125,0.125,0.125
07/12/2011,0.125,,0.125,0.125,0.125
07/13/2011,0.125,,0.125,0.125,0.125
07/14/2011,0.125,24.0,0.125,0.125,0.125
07/15/2011,0.125,202.0,0.11,0.125,0.11
07/18/2011,0.125,2.0,0.125,0.125,0.125
07/19/2011,0.125,,0.125,0.125,0.125
07/20/2011,0.125,54.0,0.125,0.125,0.125
07/21/2011,0.125,,0.125,0.125,0.125
07/22/2011,0.125,,0.125,0.125,0.125
07/25/2011,0.125,106.0,0.11,0.125,0.11
07/26/2011,0.125,200.0,0.125,0.125,0.125
07/27/2011,0.11,2310.0,0.125,0.125,0.11
07/28/2011,0.11,,0.11,0.11,0.11
07/29/2011,0.11,,0.11,0.11,0.11
08/01/2011,0.11,300.0,0.11,0.11,0.11
08/02/2011,0.11,,0.11,0.11,0.11
08/03/2011,0.1,20.0,0.1,0.1,0.1
08/04/2011,0.1,,0.1,0.1,0.1
08/05/2011,0.1,292.0,0.1,0.1,0.1
08/08/2011,0.1,100.0,0.1,0.1,0.1
08/09/2011,0.1,20.0,0.1,0.1,0.1
08/10/2011,0.15,123.0,0.1,0.15,0.1
08/11/2011,0.15,,0.15,0.15,0.15
08/12/2011,0.15,,0.15,0.15,0.15
08/15/2011,0.15,40.0,0.1,0.15,0.1
08/16/2011,0.15,,0.15,0.15,0.15
08/17/2011,0.1,30.0,0.1,0.1,0.1
08/18/2011,0.1,,0.1,0.1,0.1
